sample,metric,read_length_or_region,value,description
example_report,ratio_cds:trailer,24,123.0,
example_report,ratio_cds:trailer,25,0.0,
example_report,ratio_cds:trailer,26,119.25,
example_report,ratio_cds:trailer,27,65.71428571428571,
example_report,ratio_cds:trailer,28,77.47272727272727,
example_report,ratio_cds:trailer,29,91.09708737864078,
example_report,ratio_cds:trailer,30,94.19847328244275,
example_report,ratio_cds:trailer,31,94.36220472440945,
example_report,ratio_cds:trailer,32,95.69148936170212,
example_report,ratio_cds:trailer,33,84.51724137931035,
example_report,ratio_cds:trailer,34,90.27777777777777,
example_report,ratio_cds:trailer,35,77.33333333333333,
example_report,ratio_cds:trailer,36,63.0,
example_report,ratio_cds:trailer,37,0.0,
example_report,ratio_cds:trailer,global,90.52741935483871,
example_report,ratio_leader:trailer,20,30.0,
example_report,ratio_leader:trailer,21,43.0,
example_report,ratio_leader:trailer,22,13.0,
example_report,ratio_leader:trailer,23,35.0,
example_report,ratio_leader:trailer,24,81.0,
example_report,ratio_leader:trailer,25,0.0,
example_report,ratio_leader:trailer,26,98.5,
example_report,ratio_leader:trailer,27,52.23809523809524,
example_report,ratio_leader:trailer,28,51.36363636363637,
example_report,ratio_leader:trailer,29,65.25242718446601,
example_report,ratio_leader:trailer,30,67.20610687022901,
example_report,ratio_leader:trailer,31,71.33070866141732,
example_report,ratio_leader:trailer,32,73.48936170212765,
example_report,ratio_leader:trailer,33,71.32758620689656,
example_report,ratio_leader:trailer,34,74.66666666666667,
example_report,ratio_leader:trailer,35,49.0,
example_report,ratio_leader:trailer,36,39.0,
example_report,ratio_leader:trailer,37,0.0,
example_report,ratio_leader:trailer,global,67.52258064516128,
example_report,prop_reads_CDS,global,0.5684655658477648,Proportion of reads mapping to CDS
example_report,prop_reads_CDS,15,0.5342465753424658,Proportion of reads mapping to CDS
example_report,prop_reads_CDS,16,0.5581395348837209,Proportion of reads mapping to CDS
example_report,prop_reads_CDS,17,0.6363636363636364,Proportion of reads mapping to CDS
example_report,prop_reads_CDS,18,0.456,Proportion of reads mapping to CDS
example_report,prop_reads_CDS,19,0.4153846153846154,Proportion of reads mapping to CDS
example_report,prop_reads_CDS,20,0.48333333333333334,Proportion of reads mapping to CDS
example_report,prop_reads_CDS,21,0.34328358208955223,Proportion of reads mapping to CDS
example_report,prop_reads_CDS,22,0.7254901960784313,Proportion of reads mapping to CDS
example_report,prop_reads_CDS,23,0.52,Proportion of reads mapping to CDS
example_report,prop_reads_CDS,24,0.6,Proportion of reads mapping to CDS
example_report,prop_reads_CDS,25,0.5539568345323741,Proportion of reads mapping to CDS
example_report,prop_reads_CDS,26,0.5445205479452054,Proportion of reads mapping to CDS
